,Review Number,Review,Opinion,review_clean,Review_Length,Clean_Feedback,Feedbacks_without_stopwords,Feedback_without_stopwords_Length
118,berlin-hotel-191437-review-13.json_0,We stayed at The Westin Grand Hotel,0.0,we stayed at the westin grand hotel,35,we stayed at the westin grand hotel,stayed westin grand hotel,4
119,berlin-hotel-191437-review-13.json_1,and it was just fine.,0.0,and it was just fine,20,and it was just fine,fine,1
120,berlin-hotel-191437-review-13.json_2,We had a great time in Berlin,0.0,we had great time in berlin,27,we had great time in berlin,great time berlin,3
121,berlin-hotel-191437-review-13.json_3,and the hotel served its purpose.,0.0,and the hotel served its purpose,32,and the hotel served its purpose,hotel served purpose,3
122,berlin-hotel-191437-review-13.json_4,"However, it was not spectacular for a few reasons.",0.0,however it was not spectacular for few reasons,46,however it was not spectacular for few reasons,however spectacular reasons,3
123,berlin-hotel-191437-review-13.json_5,1. At first we got an unrenovated room.,0.0,at first we got an unrenovated room,35,at first we got an unrenovated room,first got unrenovated room,4
124,berlin-hotel-191437-review-13.json_6,This was not too miserable,0.0,this was not too miserable,26,this was not too miserable,miserable,1
125,berlin-hotel-191437-review-13.json_7,but we asked to be upgraded in rooms after my back started hurting from the bed.,0.0,but we asked to be upgraded in rooms after my back started hurting from the bed,79,but we asked to be upgraded in rooms after my back started hurting from the bed,asked upgraded rooms back started hurting bed,7
126,berlin-hotel-191437-review-13.json_8,I was under the impression that ALL beds were the so called Heavenly bed,0.0,was under the impression that all beds were the so called heavenly bed,70,was under the impression that all beds were the so called heavenly bed,impression beds called heavenly bed,5
127,berlin-hotel-191437-review-13.json_9,and boy were we wrong!,0.0,and boy were we wrong,21,and boy were we wrong,boy wrong,2
128,berlin-hotel-191437-review-13.json_10,"The funny thing is,",0.0,the funny thing is,18,the funny thing is,funny thing,2
129,berlin-hotel-191437-review-13.json_11,my husband is usually the one with the back pain!,0.0,my husband is usually the one with the back pain,48,my husband is usually the one with the back pain,husband usually one back pain,5
130,berlin-hotel-191437-review-13.json_12,When we changed to a renovated room were were delighted with the bathroom,0.0,when we changed to renovated room were were delighted with the bathroom,71,when we changed to renovated room were were delighted with the bathroom,changed renovated room delighted bathroom,5
131,berlin-hotel-191437-review-13.json_13,but still stumped at exactly what was so heavenly about the bed.,0.0,but still stumped at exactly what was so heavenly about the bed,63,but still stumped at exactly what was so heavenly about the bed,still stumped exactly heavenly bed,5
132,berlin-hotel-191437-review-13.json_14,It was hard and REALLY uncomfortable.,0.0,it was hard and really uncomfortable,36,it was hard and really uncomfortable,hard really uncomfortable,3
133,berlin-hotel-191437-review-13.json_15,(We were making jokes about it being left over from the Communist era.,0.0,we were making jokes about it being left over from the communist era,68,we were making jokes about it being left over from the communist era,making jokes left communist era,5
134,berlin-hotel-191437-review-13.json_16,"Tee hee hee)2. Terrible smell of sewers down the corridors of hotel although, thankfully not in our room.",0.0,tee hee terrible smell of sewers down the corridors of hotel although thankfully not in our room,96,tee hee terrible smell of sewers down the corridors of hotel although thankfully not in our room,tee hee terrible smell sewers corridors hotel although thankfully room,10
135,berlin-hotel-191437-review-13.json_17,3. The main conceirge did not give me a warm and fuzzy feeling.,0.0,the main conceirge did not give me warm and fuzzy feeling,57,the main conceirge did not give me warm and fuzzy feeling,main conceirge give warm fuzzy feeling,6
136,berlin-hotel-191437-review-13.json_18,He seemed harried and annoyed at me asking too many questions.,0.0,he seemed harried and annoyed at me asking too many questions,61,he seemed harried and annoyed at me asking too many questions,seemed harried annoyed asking many questions,6
137,berlin-hotel-191437-review-13.json_19,He recommended the restaurant Stamhouse which is part of the hotel.,0.0,he recommended the restaurant stamhouse which is part of the hotel,66,he recommended the restaurant stamhouse which is part of the hotel,recommended restaurant stamhouse part hotel,5
138,berlin-hotel-191437-review-13.json_20,It was a sportsbar type place,0.0,it was sportsbar type place,27,it was sportsbar type place,sportsbar type place,3
139,berlin-hotel-191437-review-13.json_21,and the food was really not good.,0.0,and the food was really not good,32,and the food was really not good,food really good,3
140,berlin-hotel-191437-review-13.json_22,The main staff of the hotel were all very nice,0.0,the main staff of the hotel were all very nice,46,the main staff of the hotel were all very nice,main staff hotel nice,4
141,berlin-hotel-191437-review-13.json_23,and they had a bunch of baby supplies for us that were helpful.,0.0,and they had bunch of baby supplies for us that were helpful,60,and they had bunch of baby supplies for us that were helpful,bunch baby supplies us helpful,5
142,berlin-hotel-191437-review-13.json_24,"Not a bad choice, but I wonder if we could have done a bit better...",0.0,not bad choice but wonder if we could have done bit better,58,not bad choice but wonder if we could have done bit better,bad choice wonder could done bit better,7
143,berlin-hotel-191437-review-14.json_0,The location is absolutely ideal for a tourist trip to Berlin.,0.0,the location is absolutely ideal for tourist trip to berlin,59,the location is absolutely ideal for tourist trip to berlin,location absolutely ideal tourist trip berlin,6
144,berlin-hotel-191437-review-14.json_1,"So much is within walking distance,",0.0,so much is within walking distance,34,so much is within walking distance,much within walking distance,4
145,berlin-hotel-191437-review-14.json_2,and that which is not is easily reached by transit.,0.0,and that which is not is easily reached by transit,50,and that which is not is easily reached by transit,easily reached transit,3
146,berlin-hotel-191437-review-14.json_3,"There are restaurants nearby, and plently of shopping.",0.0,there are restaurants nearby and plently of shopping,52,there are restaurants nearby and plently of shopping,restaurants nearby plently shopping,4
147,berlin-hotel-191437-review-14.json_4,The hotel is a great building.,0.0,the hotel is great building,27,the hotel is great building,hotel great building,3
